file,agents,label,tasks,steps,makespan,tp_makespan
warehouseXL_5000_solver1.json,5000,solver1,224,18,201,1.1144278606965174
warehouseXL_5000_solver6_level1.json,5000,solver6_level1,796,58,201,3.9601990049751246
warehouseXL_5000_solver6_level2.json,5000,solver6_level2,969,100,201,4.82089552238806
warehouseXL_5000_solver6_level3.json,5000,solver6_level3,977,120,201,4.8606965174129355
warehouseXL_5000_solver6_level4.json,5000,solver6_level4,947,131,201,4.711442786069652
warehouseXL_10000_solver1.json,10000,solver1,879,20,201,4.373134328358209
warehouseXL_10000_solver6_level1.json,10000,solver6_level1,1847,58,201,9.189054726368159
warehouseXL_10000_solver6_level2.json,10000,solver6_level2,1957,96,201,9.7363184079602
warehouseXL_10000_solver6_level3.json,10000,solver6_level3,1953,113,201,9.716417910447761
warehouseXL_10000_solver6_level4.json,10000,solver6_level4,1898,126,201,9.442786069651742
warehouseXL_20000_solver1.json,20000,solver1,2877,20,201,14.313432835820896
warehouseXL_20000_solver6_level1.json,20000,solver6_level1,4415,58,201,21.965174129353233
warehouseXL_20000_solver6_level2.json,20000,solver6_level2,4488,104,201,22.328358208955223
warehouseXL_20000_solver6_level3.json,20000,solver6_level3,4546,130,201,22.616915422885572
warehouseXL_20000_solver6_level4.json,20000,solver6_level4,4138,122,201,20.587064676616915
